SampleID,Timepoint,SampleDate,Treatment,Read,File name (mRNA),md5 (mRNA),BioSample Accession (mRNA),Raw reads (mRNA),Trimmed reads - fastp (mRNA),Hisat2 alignment (mRNA),Bowtie2 alignment (mRNA),File name (smRNA),md5 (smRNA),Raw reads (smRNA),Trimmed reads - flexbar (smRNA),BioSample Accession (smRNA),Notes
AST-1617,TP5,20210625,Ambient,1,AST-1617_R1_001.fastq.gz,85a5e0916a8d490c1886837765df2b89,SAMN47202954,31764172,21247535,59.71,49.18,AST-1617_R1_001.fastq.gz,2f911915a0fde855cde695c890f11631,17164109,16077717,SAMN47203246,
AST-1617,TP5,20210625,Ambient,2,AST-1617_R2_001.fastq.gz,2b0f10ea0e97fe2e0a1c35790d69e32f,SAMN47202954,31764172,21247535,59.24,49.18,AST-1617_R2_001.fastq.gz,149e193ed845dff763e447f763f71995,17164109,16077717,SAMN47203246,
AST-1722,TP0,20210204,Acclimation,1,AST-1722_R1_001.fastq.gz,088ca7e80fd7ea3e56b22c07e842aeec,SAMN47202955,34941521,24754153,60.17,50.33,AST-1722_R1_001.fastq.gz,f621e9588a6eb738c9fb8e97cae30191,17993435,16430221,SAMN47203247,
AST-1722,TP0,20210204,Acclimation,2,AST-1722_R2_001.fastq.gz,13cb4178df932dc33ce944c4abad88e2,SAMN47202955,34941521,24754153,60.02,50.33,AST-1722_R2_001.fastq.gz,e536afa42b72955b2e6f7e09c3ccee7e,17993435,16430221,SAMN47203247,
AST-2000,TP5,20210625,Ambient,1,AST-2000_R1_001.fastq.gz,1e2c85b8e78cae6745bbe2d0b0b6d445,SAMN47202956,30315074,20483353,40.61,34.39,AST-2000_R1_001.fastq.gz,7c702d5a05ab0dd08e0d7b6292a82057,18885883,17428854,SAMN47203248,
AST-2000,TP5,20210625,Ambient,2,AST-2000_R2_001.fastq.gz,8c758743332854829e0cb33d84341d78,SAMN47202956,30315074,20483353,41.4,34.39,AST-2000_R2_001.fastq.gz,92ff9f7116caac19d6c091eff75abc94,18885883,17428854,SAMN47203248,
AST-2007,TP7,20210825,Heat,1,AST-2007_R1_001.fastq.gz,7712d738ae884849fc678723043e97d2,SAMN47202957,39369837,26160891,52.13,42.97,AST-2007_R1_001.fastq.gz,0ccf520a2b5e1a5535b289bad1a68ddc,17958643,16559551,SAMN47203249,
AST-2007,TP7,20210825,Heat,2,AST-2007_R2_001.fastq.gz,63b20c632ee3917dc879d9d24b37815f,SAMN47202957,39369837,26160891,51.61,42.97,AST-2007_R2_001.fastq.gz,a6b2a969903196339c64821639587d35,17958643,16559551,SAMN47203249,
AST-2302,TP7,20210825,Ambient,1,AST-2302_R1_001.fastq.gz,7c4936797b0c4930c4ce8a31088012a2,SAMN47202958,33326148,22054499,64.62,52.12,AST-2302_R1_001.fastq.gz,1f660336ffd613f8f382881fe04ac79e,17901570,16665370,SAMN47203250,
AST-2302,TP7,20210825,Ambient,2,AST-2302_R2_001.fastq.gz,9dce2c4af723fa256b7df3c7452c1cb1,SAMN47202958,33326148,22054499,63.8,52.12,AST-2302_R2_001.fastq.gz,a9953d1f20b805ae6b6e64a01bd21de5,17901570,16665370,SAMN47203250,
AST-2360,TP5,20210625,Ambient,1,AST-2360_R1_001.fastq.gz,027ff1aac5b595681267dda6f4c25479,SAMN47202959,32840507,21377658,43.18,34.33,AST-2360_R1_001.fastq.gz,aeec8d07fe724d40822527d8ff1f3dd4,17996561,16648356,SAMN47203251,
AST-2360,TP5,20210625,Ambient,2,AST-2360_R2_001.fastq.gz,edacd0bde5ce86527b1b1350a2a3be7b,SAMN47202959,32840507,21377658,42.27,34.33,AST-2360_R2_001.fastq.gz,d23e02cb3a77e16441d1d1b88f4c676c,17996561,16648356,SAMN47203251,
AST-2398,TP0,20210204,Acclimation,1,AST-2398_R1_001.fastq.gz,2952d6f96bf844d5c0d0b042755c92bd,SAMN47202960,33309047,21796937,62.51,51.4,AST-2398_R1_001.fastq.gz,4199b15ea0728c6226e5e7ed845c89bd,18231685,16788208,SAMN47203252,
AST-2398,TP0,20210204,Acclimation,2,AST-2398_R2_001.fastq.gz,e26df300e93d942900e7aa86c9670d25,SAMN47202960,33309047,21796937,62.38,51.4,AST-2398_R2_001.fastq.gz,b91c18c281fb46efcf2ec96d95fa7be1,18231685,16788208,SAMN47203252,
AST-2404,TP5,20210625,Heat,1,AST-2404_R1_001.fastq.gz,da06533b0f171ce8e0536dd90fc1a4e6,SAMN47202961,38349371,26894798,48.56,40.83,AST-2404_R1_001.fastq.gz,09d7920e44532717fded9d97279c56ea,17661430,16712903,SAMN47203253,
AST-2404,TP5,20210625,Heat,2,AST-2404_R2_001.fastq.gz,f342f44ecb6c20969b36f8132c6eeb5c,SAMN47202961,38349371,26894798,48.69,40.83,AST-2404_R2_001.fastq.gz,58020f226a7bfe18e70a3c418bc77d88,17661430,16712903,SAMN47203253,
AST-2412,TP5,20210625,Heat,1,AST-2412_R1_001.fastq.gz,f0acbe6bf5b60cf5370a14a7c1a534c1,SAMN47202962,35436774,25372505,46.62,38.21,AST-2412_R1_001.fastq.gz,5d9f3d5e64f203a4fbab8f83207eec9b,18215455,17488508,SAMN47203254,
AST-2412,TP5,20210625,Heat,2,AST-2412_R2_001.fastq.gz,d8650fe802541d56d69af20faabee2a0,SAMN47202962,35436774,25372505,46.54,38.21,AST-2412_R2_001.fastq.gz,45253e98a36954b0f130cd9a0a382695,18215455,17488508,SAMN47203254,
AST-2512,TP5,20210625,Heat,1,AST-2512_R1_001.fastq.gz,9658e418f9274e5b26066d3d4e1718e9,SAMN47202963,35323599,24221309,12.71,10.24,AST-2512_R1_001.fastq.gz,e568b55dfe0b11e3a2fdb3b0784f6462,17643371,16265716,SAMN47203255,
AST-2512,TP5,20210625,Heat,2,AST-2512_R2_001.fastq.gz,3da6135ba9e1f1b64b99ffb5116641b8,SAMN47202963,35323599,24221309,12.6,10.24,AST-2512_R2_001.fastq.gz,31f0578ccfbfd8bac6019982acf826b2,17643371,16265716,SAMN47203255,
AST-2523,TP7,20210825,Ambient,1,AST-2523_R1_001.fastq.gz,eea8464ee4ee4d03ebc80203001a0a52,SAMN47202964,34086320,23751953,46.46,36.78,AST-2523_R1_001.fastq.gz,fb74c48437dcd7ba188b828d1d9962ec,17901421,16995265,SAMN47203256,
AST-2523,TP7,20210825,Ambient,2,AST-2523_R2_001.fastq.gz,16bf687195c50cc78abb42b0c1b0f9a7,SAMN47202964,34086320,23751953,46.12,36.78,AST-2523_R2_001.fastq.gz,a974789372bb24c3cf4468d8f611d6ed,17901421,16995265,SAMN47203256,
AST-2563,TP5,20210625,Heat,1,AST-2563_R1_001.fastq.gz,ae5cb429237b5f83b5b229219546f2d4,SAMN47202965,35799766,25242216,46.77,38.31,AST-2563_R1_001.fastq.gz,d560e363fec0614ccd6ff9e3a6bc99e1,18067665,17023002,SAMN47203257,
AST-2563,TP5,20210625,Heat,2,AST-2563_R2_001.fastq.gz,629707c17148f86d1e25622e6ec25c11,SAMN47202965,35799766,25242216,46.55,38.31,AST-2563_R2_001.fastq.gz,23786dcfb10a3b34192c3e52fac4ecff,18067665,17023002,SAMN47203257,
AST-2729,TP7,20210825,Heat,1,AST-2729_R1_001.fastq.gz,89cbe7ac6e38fa51a4a92ee86c775bca,SAMN47202966,22735638,15551660,18.14,15.2,AST-2729_R1_001.fastq.gz,2960d83553b79229a930320b73be0c8c,18840062,17121869,SAMN47203258,
AST-2729,TP7,20210825,Heat,2,AST-2729_R2_001.fastq.gz,a15c9b2bf5d7bf1ffedb90d7dcbd9aa4,SAMN47202966,22735638,15551660,18.27,15.2,AST-2729_R2_001.fastq.gz,4d1fecf60f265ca880cb162378036ca7,18840062,17121869,SAMN47203258,
AST-2755,TP7,20210825,Heat,1,AST-2755_R1_001.fastq.gz,04cbf827e7184f9984d32f9008d75f38,SAMN47202967,33057601,24720522,63.77,40.96,AST-2755_R1_001.fastq.gz,64df439cf4a91dbf88bc90e7e8ab8619,18122482,16269823,SAMN47203259,
AST-2755,TP7,20210825,Heat,2,AST-2755_R2_001.fastq.gz,76697cdade228d16f4ad021d814f8719,SAMN47202967,33057601,24720522,57.08,40.96,AST-2755_R2_001.fastq.gz,c997a32ab5b652604eaf27f94f19d554,18122482,16269823,SAMN47203259,
,,,,,,AVERAGES,,33916757.4,22592186.25,44.71825,36.188,,,19491008.75,18033790,,
