miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,mRNA_log2FoldChange,mRNA_padj,mRNA_DE,miRNA_log2FoldChange,miRNA_padj,miRNA_DE,NCBI_Description,Swiss.Prot_Description,score,energy,query_similar,subject_similar,total_bp_shared,GO_Swiss.Prot,GO_Trembl
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.752248143,0.03784174236,Y,-2.11084247,0.007967319116,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.752248143,0.03784174236,Y,-1.916046631,0.003977191821,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.752248143,0.03784174236,Y,-2.296175267,0.0001233001626,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.928941291,0.02330133716,Y,-2.11084247,0.007967319116,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.928941291,0.02330133716,Y,-1.916046631,0.003977191821,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_7.2214,0.3110623965,0.1948777124,0.7733671729,-3.928941291,0.02330133716,Y,-2.296175267,0.0001233001626,Y,PREDICTED: Down syndrome cell adhesion molecule-like protein Dscam2 isoform X1 [Acropora digitifera],CUB and sushi domain-containing protein 1 OS=Mus musculus GN=Csmd1 PE=1 SV=2,145,-20.85,100.00%,100.00%,8,GO:0016021; GO:0042593; GO:0001964,GO:0016021
Cluster_1453,evm.TU.chromosome_3.1831,-0.1183040347,0.6295455423,0.935520966,-5.235321675,0.03294391789,Y,-2.11084247,0.007967319116,Y,uncharacterized protein LOC110062144 [Orbicella faveolata],Uracil-DNA glycosylase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131) GN=ung PE=3 SV=1,160,-20.03,68.42%,78.95%,19,GO:0005737; GO:0004844; GO:0097510,GO:0004844; GO:0006284
Cluster_1453,evm.TU.chromosome_3.1831,-0.1183040347,0.6295455423,0.935520966,-5.235321675,0.03294391789,Y,-1.916046631,0.003977191821,Y,uncharacterized protein LOC110062144 [Orbicella faveolata],Uracil-DNA glycosylase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131) GN=ung PE=3 SV=1,160,-20.03,68.42%,78.95%,19,GO:0005737; GO:0004844; GO:0097510,GO:0004844; GO:0006284
Cluster_1453,evm.TU.chromosome_3.1831,-0.1183040347,0.6295455423,0.935520966,-5.235321675,0.03294391789,Y,-2.296175267,0.0001233001626,Y,uncharacterized protein LOC110062144 [Orbicella faveolata],Uracil-DNA glycosylase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131) GN=ung PE=3 SV=1,160,-20.03,68.42%,78.95%,19,GO:0005737; GO:0004844; GO:0097510,GO:0004844; GO:0006284
Cluster_4640,evm.TU.chromosome_7.88,-0.1466489403,0.5491162073,0.9158701485,-6.417389839,0.0005444878166,Y,1.482947692,0.04030504797,Y,profilin-2-like [Stylophora pistillata],Profilin-2 OS=Acanthamoeba castellanii PE=1 SV=3,163,-20.17,87.50%,87.50%,16,GO:0005737; GO:0005856; GO:0003779,GO:0005856; GO:0003779
Cluster_4640,evm.TU.chromosome_7.88,-0.1466489403,0.5491162073,0.9158701485,-6.417389839,0.0005444878166,Y,1.31187539,0.03794629001,Y,profilin-2-like [Stylophora pistillata],Profilin-2 OS=Acanthamoeba castellanii PE=1 SV=3,163,-20.17,87.50%,87.50%,16,GO:0005737; GO:0005856; GO:0003779,GO:0005856; GO:0003779
Cluster_4640,evm.TU.chromosome_7.88,-0.1466489403,0.5491162073,0.9158701485,-6.417389839,0.0005444878166,Y,1.86456531,0.0009935024121,Y,profilin-2-like [Stylophora pistillata],Profilin-2 OS=Acanthamoeba castellanii PE=1 SV=3,163,-20.17,87.50%,87.50%,16,GO:0005737; GO:0005856; GO:0003779,GO:0005856; GO:0003779
Cluster_4831,evm.TU.chromosome_14.5787,-0.140313054,0.5666883798,0.9204064717,5.897204112,0.001137122431,Y,-1.780872401,0.01191674926,Y,collagen triple helix repeat-containing protein 1-like [Orbicella faveolata],Complement C1q and tumor necrosis factor-related protein 9A OS=Homo sapiens GN=C1QTNF9 PE=1 SV=1,162,-22.87,78.95%,78.95%,19,GO:0005581; GO:0005576; GO:0005179; GO:0042802,GO:0016021; GO:0004930; GO:0005525; GO:0007166
Cluster_2003,evm.TU.chromosome_4.1368,-0.1929595089,0.428669086,0.8815081772,-6.340772758,0.02823992034,Y,-2.084022573,0.008928651577,Y,uncharacterized protein LOC111322152 [Stylophora pistillata],NA,154,-21.63,84.62%,84.62%,13,NA,NA
Cluster_2003,evm.TU.chromosome_4.1368,-0.1929595089,0.428669086,0.8815081772,-6.340772758,0.02823992034,Y,-1.807889724,0.01372151167,Y,uncharacterized protein LOC111322152 [Stylophora pistillata],NA,154,-21.63,84.62%,84.62%,13,NA,NA
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.408193431,0.03854686467,Y,-1.437524244,0.021421493,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.408193431,0.03854686467,Y,-2.100507785,1.31E-05,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.408193431,0.03854686467,Y,-1.905729285,0.0001233001626,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.341796603,0.04682812177,Y,-1.437524244,0.021421493,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.341796603,0.04682812177,Y,-2.100507785,1.31E-05,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3037,evm.TU.chromosome_4.1369,-0.4240086027,0.07041965663,0.6242203502,1.341796603,0.04682812177,Y,-1.905729285,0.0001233001626,Y,uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata],Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1,146,-22.35,60.00%,68.00%,25,GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224,GO:0016021
Cluster_3293,evm.TU.chromosome_9.1182,-0.2023621582,0.406063864,0.8743359642,-2.729149702,0.03179782085,Y,-1.347139578,0.03223181177,Y,uncharacterized protein LOC111340607 [Stylophora pistillata],NA,159,-20.63,72.22%,77.78%,18,NA,GO:0003677; GO:0003899; GO:0032549; GO:0006351
Cluster_3293,evm.TU.chromosome_9.1182,-0.2023621582,0.406063864,0.8743359642,-3.969964311,0.000758969959,Y,-1.347139578,0.03223181177,Y,uncharacterized protein LOC111340607 [Stylophora pistillata],NA,159,-20.63,72.22%,77.78%,18,NA,GO:0003677; GO:0003899; GO:0032549; GO:0006351
Cluster_3293,evm.TU.chromosome_9.1182,-0.2023621582,0.406063864,0.8743359642,-2.564284002,0.04941151259,Y,-1.347139578,0.03223181177,Y,uncharacterized protein LOC111340607 [Stylophora pistillata],NA,159,-20.63,72.22%,77.78%,18,NA,GO:0003677; GO:0003899; GO:0032549; GO:0006351
Cluster_8986,evm.TU.chromosome_9.2166,-0.3276259696,0.1709105002,0.7549381688,-2.134678659,0.02745065582,Y,1.922137093,0.006380078666,Y,formin-like protein 14 [Orbicella faveolata],NA,151,-20.43,73.68%,78.95%,19,NA,NA
Cluster_1452,evm.TU.chromosome_10.1344,-0.2002208018,0.4111541858,0.8758227913,-3.54100043,3.50E-05,Y,-1.910818382,0.03487820213,Y,hypothetical protein XENTR_v90030530mg [Xenopus tropicalis],Neurofilament heavy polypeptide OS=Rattus norvegicus GN=Nefh PE=1 SV=4,165,-24.3,78.95%,84.21%,19,GO:0030424; GO:0005737; GO:0005856; GO:0005882; GO:0005739; GO:0043209; GO:0097418; GO:0005883; GO:0005634; GO:0043204; GO:0014069; GO:0030674; GO:0046982; GO:0019901; GO:0005200; GO:0005198; GO:0015643; GO:0061564; GO:0031103; GO:0007420; GO:0071392; GO:1990830; GO:0034599; GO:0021987; GO:0021766; GO:0045110; GO:0045104; GO:0000226; GO:0033693; GO:0060052; GO:0031175; GO:0001552; GO:0048936; GO:1902513; GO:1903937; GO:0042220; GO:1903935; GO:0021510,
Cluster_1452,evm.TU.chromosome_8.2205,0.01148458608,0.9627819459,0.9951946029,-2.737405697,0.0002768115982,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110053916 [Orbicella faveolata],NA,158,-22.16,73.68%,78.95%,19,NA,
Cluster_1452,evm.TU.chromosome_8.2205,0.01148458608,0.9627819459,0.9951946029,-2.166115189,0.008886403254,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110053916 [Orbicella faveolata],NA,158,-22.16,73.68%,78.95%,19,NA,
Cluster_1452,evm.TU.chromosome_8.2205,0.01148458608,0.9627819459,0.9951946029,-2.429819698,0.001595910574,Y,-1.910818382,0.03487820213,Y,uncharacterized protein LOC110053916 [Orbicella faveolata],NA,158,-22.16,73.68%,78.95%,19,NA,
Cluster_2003,evm.TU.chromosome_6.759,0.1690539769,0.4890202216,0.899184393,-3.001618825,0.000722598398,Y,-2.084022573,0.008928651577,Y,carboxylesterase 5A-like [Orbicella faveolata],Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,166,-23.86,78.95%,84.21%,19,GO:0005576; GO:0003990; GO:0004104,GO:0052689
Cluster_2003,evm.TU.chromosome_6.759,0.1690539769,0.4890202216,0.899184393,-3.001618825,0.000722598398,Y,-1.807889724,0.01372151167,Y,carboxylesterase 5A-like [Orbicella faveolata],Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,166,-23.86,78.95%,84.21%,19,GO:0005576; GO:0003990; GO:0004104,GO:0052689
Cluster_2003,evm.TU.chromosome_6.759,0.1690539769,0.4890202216,0.899184393,-3.01253894,0.0005274045828,Y,-2.084022573,0.008928651577,Y,carboxylesterase 5A-like [Orbicella faveolata],Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,166,-23.86,78.95%,84.21%,19,GO:0005576; GO:0003990; GO:0004104,GO:0052689
Cluster_2003,evm.TU.chromosome_6.759,0.1690539769,0.4890202216,0.899184393,-3.01253894,0.0005274045828,Y,-1.807889724,0.01372151167,Y,carboxylesterase 5A-like [Orbicella faveolata],Cholinesterase OS=Oryctolagus cuniculus GN=BCHE PE=2 SV=1,166,-23.86,78.95%,84.21%,19,GO:0005576; GO:0003990; GO:0004104,GO:0052689
Cluster_3037,evm.TU.chromosome_13.2488,-0.3414949485,0.1524512122,0.7385048491,3.859636705,0.008280308951,Y,-1.437524244,0.021421493,Y,uncharacterized protein LOC110064137 [Orbicella faveolata],NA,165,-20.68,83.33%,83.33%,18,NA,
Cluster_3037,evm.TU.chromosome_13.2488,-0.3414949485,0.1524512122,0.7385048491,3.859636705,0.008280308951,Y,-2.100507785,1.31E-05,Y,uncharacterized protein LOC110064137 [Orbicella faveolata],NA,165,-20.68,83.33%,83.33%,18,NA,
Cluster_3037,evm.TU.chromosome_13.2488,-0.3414949485,0.1524512122,0.7385048491,3.859636705,0.008280308951,Y,-1.905729285,0.0001233001626,Y,uncharacterized protein LOC110064137 [Orbicella faveolata],NA,165,-20.68,83.33%,83.33%,18,NA,
Cluster_8986,evm.TU.chromosome_12.3587,0.6538764307,0.002391994452,0.2184426781,0.8839197489,0.04141268759,Y,1.922137093,0.006380078666,Y,cytoplasmic aconitate hydratase-like isoform X1 [Orbicella faveolata],Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3,164,-22.26,82.35%,88.24%,17,GO:0005737; GO:0005829; GO:0005783; GO:0070062; GO:0005794; GO:0005739; GO:0051538; GO:0051539; GO:0003994; GO:0030350; GO:0046872; GO:0003723; GO:0006879; GO:0006101; GO:0050892; GO:0009791; GO:0006417; GO:0010040; GO:0006099,GO:0005737; GO:0051539; GO:0003994; GO:0006879; GO:0008152; GO:0010040
