mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_1.772,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_2.1091,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_2.753,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.755,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.2077,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.2077,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1679,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1829,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1829,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1829,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1824,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1824,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1824,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1826,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1826,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1826,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1821,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1821,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1823,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1823,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1822,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1822,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1822,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1433,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_2.1707,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Biological Processes,0.07843137255,February
evm.TU.chromosome_2.1709,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.1709,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.611,GO:0042730,fibrinolysis,27,4,0.41,0.00071,Biological Processes,0.1481481481,February
evm.TU.chromosome_2.796,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.120,GO:0048149,behavioral response to ethanol,22,3,0.34,0.00441,Biological Processes,0.1363636364,February
evm.TU.chromosome_2.695,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.695,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1724,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.1724,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.66,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_2.66,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_2.1049,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Biological Processes,0.2,February
evm.TU.chromosome_2.1815,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1815,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_2.1815,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.2005,GO:0097067,cellular response to thyroid hormone stimulus,18,5,0.28,5.90E-06,Biological Processes,0.2777777778,February
evm.TU.chromosome_2.582,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_2.582,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_2.2089,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.2089,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.802,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.1845,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.855,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.398,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_2.227,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.346,GO:0006309,apoptotic DNA fragmentation,15,3,0.23,0.01165,Biological Processes,0.2,February
evm.TU.chromosome_2.346,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_2.1685,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.756,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.1065,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1064,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_2.1835,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.605,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_2.333,GO:0010492,maintenance of shoot apical meristem identity,2,1,0.03,0.03039,Biological Processes,0.5,February
evm.TU.chromosome_2.333,GO:0048544,recognition of pollen,2,1,0.03,0.03039,Biological Processes,0.5,February
evm.TU.chromosome_2.686,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1053,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Biological Processes,0.2,February
evm.TU.chromosome_2.1059,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Biological Processes,0.2,February
evm.TU.chromosome_2.1860,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_2.1860,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.760,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.655,GO:0030042,actin filament depolymerization,46,4,0.7,0.00529,Biological Processes,0.08695652174,February
evm.TU.chromosome_2.655,GO:0030042,actin filament depolymerization,46,4,0.7,0.00529,Biological Processes,0.08695652174,February
evm.TU.chromosome_2.289,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_2.281,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_2.280,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_2.282,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1749,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_2.168,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.469,GO:0042730,fibrinolysis,27,4,0.41,0.00071,Biological Processes,0.1481481481,February
evm.TU.chromosome_2.1336,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_2.1581,GO:0060289,compartment boundary maintenance,15,2,0.23,0.02151,Biological Processes,0.1333333333,February
evm.TU.chromosome_2.1581,GO:0060288,formation of a compartment boundary,15,2,0.23,0.02151,Biological Processes,0.1333333333,February
evm.TU.chromosome_2.668,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_2.668,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_2.254,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1716,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Biological Processes,0.07843137255,February
evm.TU.chromosome_2.196,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Biological Processes,0.02222222222,February
evm.TU.chromosome_2.196,GO:0097185,cellular response to azide,4,2,0.06,0.00137,Biological Processes,0.5,February
evm.TU.chromosome_2.196,GO:0071280,cellular response to copper ion,6,2,0.09,0.00336,Biological Processes,0.3333333333,February
evm.TU.chromosome_2.196,GO:0035874,cellular response to copper ion starvation,4,2,0.06,0.00137,Biological Processes,0.5,February
evm.TU.chromosome_2.196,GO:0071420,cellular response to histamine,30,3,0.46,0.01062,Biological Processes,0.1,February
evm.TU.chromosome_2.196,GO:0046677,response to antibiotic,76,4,1.16,0.02922,Biological Processes,0.05263157895,February
evm.TU.chromosome_2.196,GO:0009308,amine metabolic process,180,4,2.76,0.0189,Biological Processes,0.02222222222,February
evm.TU.chromosome_2.1699,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.1699,GO:0008217,regulation of blood pressure,362,9,5.54,0.0278,Biological Processes,0.02486187845,February
evm.TU.chromosome_2.1693,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Biological Processes,0.07843137255,February
evm.TU.chromosome_2.1076,GO:0042730,fibrinolysis,27,4,0.41,0.00071,Biological Processes,0.1481481481,February
evm.TU.chromosome_2.743,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.745,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_2.745,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_2.1221,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1886,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_2.1931,GO:0006691,leukotriene metabolic process,31,3,0.47,0.03021,Biological Processes,0.09677419355,February
evm.TU.chromosome_2.488,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_2.488,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_2.385,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Biological Processes,0.07843137255,February
evm.TU.chromosome_2.385,GO:0097264,self proteolysis,16,4,0.24,8.50E-05,Biological Processes,0.25,February
evm.TU.chromosome_2.528,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_2.232,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Biological Processes,0.1081081081,February
evm.TU.chromosome_2.1220,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Biological Processes,0.09090909091,February
evm.TU.chromosome_2.1021.1.5f15dd58,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1021,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.1023,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_2.752,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_2.644,GO:0010634,positive regulation of epithelial cell migration,53,4,0.81,0.00874,Biological Processes,0.07547169811,February
evm.TU.chromosome_3.1277,GO:0048149,behavioral response to ethanol,22,3,0.34,0.00441,Biological Processes,0.1363636364,February
evm.TU.chromosome_3.1277,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.261,GO:0015986,proton motive force-driven ATP synthesis,15,2,0.23,0.02151,Biological Processes,0.1333333333,February
evm.TU.chromosome_3.261,GO:0015986,proton motive force-driven ATP synthesis,15,2,0.23,0.02151,Biological Processes,0.1333333333,February
evm.TU.chromosome_3.705,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_3.350,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.839,GO:0044179,hemolysis in another organism,10,2,0.15,0.00969,Biological Processes,0.2,February
evm.TU.chromosome_3.37,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.1826,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.1826,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_3.1828,GO:0050790,regulation of catalytic activity,1442,21,22.08,0.00345,Biological Processes,0.0145631068,February
evm.TU.chromosome_3.165,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.165,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.942,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.946,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_3.1116,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_3.1117,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_3.1114,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_3.1114,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_3.1115,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_3.1113,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
