gene_name,GeneOntologyIDs,Term,Annotated,Significant,Expected,Fisher,ontology,mirna,Target,Score,Energy_kcal_mol,Query_start_end,Subject_start_end,Length,Query_Identity,Subject_Identity,prop.sig.genes,Species
LOC114954910,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114954910;Dbxref=GeneID:114954910;Name=LOC114954910;gbkey=Gene;gene=LOC114954910;gene_biotype=protein_coding::NC_058078.1:7936241-7937241,164,-23.06,2 22,240 263,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114954910,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114954910;Dbxref=GeneID:114954910;Name=LOC114954910;gbkey=Gene;gene=LOC114954910;gene_biotype=protein_coding::NC_058078.1:7936241-7937241,164,-23.06,2 22,240 263,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114954910,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114954910;Dbxref=GeneID:114954910;Name=LOC114954910;gbkey=Gene;gene=LOC114954910;gene_biotype=protein_coding::NC_058078.1:7936241-7937241,164,-23.06,2 22,240 263,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114954910,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114954910;Dbxref=GeneID:114954910;Name=LOC114954910;gbkey=Gene;gene=LOC114954910;gene_biotype=protein_coding::NC_058078.1:7936241-7937241,164,-23.06,2 22,240 263,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114954910,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114954910;Dbxref=GeneID:114954910;Name=LOC114954910;gbkey=Gene;gene=LOC114954910;gene_biotype=protein_coding::NC_058078.1:7936241-7937241,164,-23.06,2 22,240 263,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114956664,GO:0007413,axonal fasciculation,28,7,2.61,0.00132,Biological Processes,apul-mir-novel-25a,ID=gene-LOC114956664;Dbxref=GeneID:114956664;Name=LOC114956664;gbkey=Gene;gene=LOC114956664;gene_biotype=protein_coding::NC_058077.1:17358679-17359679,162,-20.11,2 19,284 305,17,76.47%,82.35%,0.25,Acropora pulchra
LOC114956664,GO:0007413,axonal fasciculation,28,7,2.61,0.00132,Biological Processes,apul-mir-novel-25b,ID=gene-LOC114956664;Dbxref=GeneID:114956664;Name=LOC114956664;gbkey=Gene;gene=LOC114956664;gene_biotype=protein_coding::NC_058077.1:17358679-17359679,162,-20.11,2 19,284 305,17,76.47%,82.35%,0.25,Acropora pulchra
LOC114957324,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-26,ID=gene-LOC114957324;Dbxref=GeneID:114957324;Name=LOC114957324;gbkey=Gene;gene=LOC114957324;gene_biotype=protein_coding::NC_058070.1:28610223-28611223,156,-24.7,2 20,214 232,18,77.78%,77.78%,0.1120567376,Acropora pulchra
LOC114958588,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-25a,ID=gene-LOC114958588;Dbxref=GeneID:114958588;Name=LOC114958588;gbkey=Gene;gene=LOC114958588;gene_biotype=protein_coding::NC_058077.1:18724591-18725545,161,-24.96,2 20,55 75,18,77.78%,83.33%,0.11875,Acropora pulchra
LOC114958588,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-25b,ID=gene-LOC114958588;Dbxref=GeneID:114958588;Name=LOC114958588;gbkey=Gene;gene=LOC114958588;gene_biotype=protein_coding::NC_058077.1:18724591-18725545,161,-24.96,2 20,55 75,18,77.78%,83.33%,0.11875,Acropora pulchra
LOC114959758,GO:0007413,axonal fasciculation,28,7,2.61,0.00132,Biological Processes,apul-mir-100,ID=gene-LOC114959758;Dbxref=GeneID:114959758;Name=LOC114959758;gbkey=Gene;gene=LOC114959758;gene_biotype=protein_coding::NC_058072.1:5752186-5753186,140,-20.79,2 9,945 964,7,100.00%,100.00%,0.25,Acropora pulchra
LOC114961376,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-22,ID=gene-LOC114961376;Dbxref=GeneID:114961376;Name=LOC114961376;gbkey=Gene;gene=LOC114961376;gene_biotype=protein_coding::NW_025322767.1:237734-238591,154,-22.09,2 19,782 803,17,64.71%,82.35%,0.1120567376,Acropora pulchra
LOC114961376,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114961376;Dbxref=GeneID:114961376;Name=LOC114961376;gbkey=Gene;gene=LOC114961376;gene_biotype=protein_coding::NW_025322767.1:237734-238591,155,-22.57,2 22,511 536,23,65.22%,78.26%,0.1120567376,Acropora pulchra
LOC114961376,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-22,ID=gene-LOC114961376;Dbxref=GeneID:114961376;Name=LOC114961376;gbkey=Gene;gene=LOC114961376;gene_biotype=protein_coding::NW_025322767.1:237734-238591,154,-22.09,2 19,782 803,17,64.71%,82.35%,0.1120567376,Acropora pulchra
LOC114961376,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114961376;Dbxref=GeneID:114961376;Name=LOC114961376;gbkey=Gene;gene=LOC114961376;gene_biotype=protein_coding::NW_025322767.1:237734-238591,155,-22.57,2 22,511 536,23,65.22%,78.26%,0.1120567376,Acropora pulchra
LOC114966489,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-3,ID=gene-LOC114966489;Dbxref=GeneID:114966489;Name=LOC114966489;gbkey=Gene;gene=LOC114966489;gene_biotype=protein_coding::NC_058077.1:903355-904355,160,-20.06,2 21,743 762,19,78.95%,84.21%,0.11875,Acropora pulchra
LOC114966489,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-3,ID=gene-LOC114966489;Dbxref=GeneID:114966489;Name=LOC114966489;gbkey=Gene;gene=LOC114966489;gene_biotype=protein_coding::NC_058077.1:903355-904355,160,-20.06,2 21,743 762,19,78.95%,84.21%,0.1120567376,Acropora pulchra
LOC114967798,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-9425,ID=gene-LOC114967798;Dbxref=GeneID:114967798;Name=LOC114967798;gbkey=Gene;gene=LOC114967798;gene_biotype=protein_coding::NW_025322617.1:2031449-2032449,158,-20.66,2 22,878 899,20,75.00%,75.00%,0.1460176991,Acropora pulchra
LOC114968867,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-7,ID=gene-LOC114968867;Dbxref=GeneID:114968867;Name=LOC114968867;gbkey=Gene;gene=LOC114968867;gene_biotype=protein_coding::NW_025322766.1:783426-784426,155,-24.41,2 17,689 713,18,77.78%,77.78%,0.1120567376,Acropora pulchra
LOC114970575,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-25a,ID=gene-LOC114970575;Dbxref=GeneID:114970575;Name=LOC114970575;gbkey=Gene;gene=LOC114970575;gene_biotype=protein_coding::NC_058074.1:9416684-9417684,154,-22.88,2 20,641 664,20,70.00%,75.00%,0.11875,Acropora pulchra
LOC114970575,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-novel-25b,ID=gene-LOC114970575;Dbxref=GeneID:114970575;Name=LOC114970575;gbkey=Gene;gene=LOC114970575;gene_biotype=protein_coding::NC_058074.1:9416684-9417684,154,-22.88,2 20,641 664,20,70.00%,75.00%,0.11875,Acropora pulchra
LOC114970835,GO:0009617,response to bacterium,705,79,65.74,0.00017,Biological Processes,apul-mir-novel-9,ID=gene-LOC114970835;Dbxref=GeneID:114970835;Name=LOC114970835;gbkey=Gene;gene=LOC114970835;gene_biotype=protein_coding::NC_058069.1:4704245-4705089,163,-23.43,2 21,291 315,21,66.67%,85.71%,0.1120567376,Acropora pulchra
LOC114972169,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-2023,ID=gene-LOC114972169;Dbxref=GeneID:114972169;Name=LOC114972169;gbkey=Gene;gene=LOC114972169;gene_biotype=protein_coding::NC_058066.1:37249214-37250214,149,-23.33,2 20,103 122,18,72.22%,72.22%,0.11875,Acropora pulchra
LOC114972169,GO:0007156,homophilic cell adhesion via plasma membrane adhesi...,320,38,29.84,0.00017,Biological Processes,apul-mir-2023,ID=gene-LOC114972169;Dbxref=GeneID:114972169;Name=LOC114972169;gbkey=Gene;gene=LOC114972169;gene_biotype=protein_coding::NC_058066.1:37249214-37250214,149,-23.33,2 20,103 122,18,72.22%,72.22%,0.11875,Acropora pulchra
LOC114973781,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-9,ID=gene-LOC114973781;Dbxref=GeneID:114973781;Name=LOC114973781;gbkey=Gene;gene=LOC114973781;gene_biotype=protein_coding::NC_058066.1:35705765-35706765,171,-30.52,2 22,177 198,20,75.00%,90.00%,0.1460176991,Acropora pulchra
LOC114973781,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-9,ID=gene-LOC114973781;Dbxref=GeneID:114973781;Name=LOC114973781;gbkey=Gene;gene=LOC114973781;gene_biotype=protein_coding::NC_058066.1:35705765-35706765,171,-30.52,2 22,177 198,20,75.00%,90.00%,0.1460176991,Acropora pulchra
LOC114976500,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-5,ID=gene-LOC114976500;Dbxref=GeneID:114976500;Name=LOC114976500;gbkey=Gene;gene=LOC114976500;gene_biotype=protein_coding::NC_058075.1:19449588-19450588,169,-23.08,2 23,869 895,24,70.83%,79.17%,0.1460176991,Acropora pulchra
LOC114976602,GO:0051607,defense response to virus,226,33,21.07,0.00018,Biological Processes,apul-mir-novel-26,ID=gene-LOC114976602;Dbxref=GeneID:114976602;Name=LOC114976602;gbkey=Gene;gene=LOC114976602;gene_biotype=protein_coding::NC_058067.1:14959483-14960483,150,-22.33,2 11,321 341,9,100.00%,100.00%,0.1460176991,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.2105263158,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.2105263158,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.2105263158,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.2105263158,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.0959752322,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-9425,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,168,-22.78,2 23,339 361,21,76.19%,80.95%,0.2105263158,Acropora pulchra
LOC114976951,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976951;Dbxref=GeneID:114976951;Name=LOC114976951;gbkey=Gene;gene=LOC114976951;gene_biotype=protein_coding::NC_058078.1:14215070-14216070,156,-21.35,2 20,102 123,19,78.95%,78.95%,0.2105263158,Acropora pulchra
LOC114976947,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976947;Dbxref=GeneID:114976947;Name=LOC114976947;gbkey=Gene;gene=LOC114976947;gene_biotype=protein_coding::NC_058078.1:14228831-14229831,156,-21.35,2 20,176 197,19,78.95%,78.95%,0.0959752322,Acropora pulchra
LOC114976947,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC114976947;Dbxref=GeneID:114976947;Name=LOC114976947;gbkey=Gene;gene=LOC114976947;gene_biotype=protein_coding::NC_058078.1:14228831-14229831,156,-21.35,2 20,176 197,19,78.95%,78.95%,0.2105263158,Acropora pulchra
LOC122947651,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-19,ID=gene-LOC122947651;Dbxref=GeneID:122947651;Name=LOC122947651;gbkey=Gene;gene=LOC122947651;gene_biotype=protein_coding::NC_058078.1:14235851-14236851,152,-21.91,2 13,48 70,11,90.91%,90.91%,0.0959752322,Acropora pulchra
LOC122947651,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-19,ID=gene-LOC122947651;Dbxref=GeneID:122947651;Name=LOC122947651;gbkey=Gene;gene=LOC122947651;gene_biotype=protein_coding::NC_058078.1:14235851-14236851,152,-21.91,2 13,48 70,11,90.91%,90.91%,0.2105263158,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0006091,generation of precursor metabolites and energy,323,31,30.12,0.00135,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.0959752322,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-15,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,159,-21.14,2 20,109 128,18,83.33%,83.33%,0.2105263158,Acropora pulchra
LOC122947652,GO:0008218,bioluminescence,38,8,3.54,0.002,Biological Processes,apul-mir-novel-22,ID=gene-LOC122947652;Dbxref=GeneID:122947652;Name=LOC122947652;gbkey=Gene;gene=LOC122947652;gene_biotype=protein_coding::NC_058078.1:14353225-14354225,155,-21.29,2 20,265 284,18,77.78%,83.33%,0.2105263158,Acropora pulchra
