miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,moduleColor,hpf_1,hpf_4,hpf_9,hpf_14,hpf_22,hpf_28,hpf_48,hpf_72,hpf_1.1,hpf_4.1,hpf_9.1,hpf_14.1,hpf_22.1,hpf_28.1,hpf_48.1,hpf_72.1,category,timepoint,count,mean,sd,se,mirna_zscore,mrna_mean_zscore,mrna_sd_zscore,mrna_se_zscore
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,48_hpf,15948.96,9.428408735,0.02229947758,0.01114973879,-0.1250469588,0.6704027223,-1.189580818,-1.189580818
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,72_hpf,7867.69,9.622895921,0.1420661147,0.07103305737,-0.3017805608,0.7691330366,-0.7468930306,-0.7468930306
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,1_hpf,0,7.544511632,0.1780331632,0.0890165816,-0.473843268,-0.2859469331,-0.6139497212,-0.6139497212
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,4_hpf,0,8.193367171,0.7300909968,0.3650454984,-0.473843268,0.04344089299,1.42659568,1.42659568
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,9_hpf,243.55,7.612502131,0.3443288127,0.1721644064,-0.4685169432,-0.2514319426,0.0007210654876,0.0007210654876
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,14_hpf,2576.88,6.741411024,0.09961062474,0.04980531237,-0.4174881054,-0.6936363914,-0.9038192611,-0.9038192611
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,22_hpf,9908.42,6.611953449,0.869646644,0.434823322,-0.2571507485,-0.7593547936,1.942428654,1.942428654
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,28_hpf,7763.29,6.422976277,0.8491025943,0.4245512972,-0.3040637401,-0.8552879803,1.86649265,1.86649265
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,48_hpf,10499.73,6.447727398,0.4633870153,0.2316935076,-0.2442190748,-0.8427232147,0.440790299,0.440790299
Montipora_capitata_HIv3___Scaffold_4_288176,Montipora_capitata_HIv3___TS.g42423.t1,-0.7940501988,0.01860427418,0.1282668737,160,-21.83,2 20,128 149,18,77.78%,83.33%,yellow,0.2499890514,0.6514393187,0.2870847355,-0.1158498028,-0.1435197726,-0.2968276273,-0.2254384295,-0.3652186167,0.1827502904,9.65E-05,0.1240000878,0.5421059846,0.4492788107,0.1111946787,0.2309932536,0.04719552,Maternal,72_hpf,5619.78,6.081857015,0.3038761368,0.1519380684,-0.3509413031,-1.028455235,-0.1488022578,-0.1488022578
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,1_hpf,7571.35,9.04297265,0.07309273946,0.03654636973,-0.3082613783,0.4747382851,-1.001836073,-1.001836073
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,4_hpf,10730.36,8.960564212,0.9186959184,0.4593479592,-0.2391753044,0.43290411,2.12372718,2.12372718
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,9_hpf,6819.29,8.989779522,0.1443565994,0.07217829972,-0.3247085794,0.4477350957,-0.7384268197,-0.7384268197
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,14_hpf,6356.3,7.50802675,0.299133463,0.1495667315,-0.3348339545,-0.3044682758,-0.1663323797,-0.1663323797
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,22_hpf,4653.96,5.854915182,1.18519146,0.5925957302,-0.3720633355,-1.143660966,3.108762115,3.108762115
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,28_hpf,3368.98,5.992454789,1.678754143,0.8393770716,-0.4001652482,-1.073839767,4.933094642,4.933094642
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,48_hpf,1860.71,4.693394894,0.9940504357,0.4970252179,-0.433150409,-1.733300138,2.402256537,2.402256537
Montipora_capitata_HIv3___Scaffold_14_984317,Montipora_capitata_HIv3___TS.g14498.t1,0.9182074192,0.001285440721,0.05029038928,163,-20.29,2 20,60 81,18,72.22%,83.33%,yellow,0.4397323798,0.4703176695,0.4237514261,0.04298583154,-0.2439878364,-0.2869391877,-0.416234162,-0.4080832951,0.01503644532,0.008722812998,0.0196204343,0.8215570507,0.1938298999,0.1241992884,0.02214501693,0.02517793007,Maternal,72_hpf,642.26,4.781126028,0.5980850633,0.2990425317,-0.4597973416,-1.688763926,0.9386683577,0.9386683577
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,1_hpf,0,8.760007463,0.1599654209,0.07998271043,-0.473843268,0.3310926164,-0.6807326673,-0.6807326673
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,4_hpf,692.28,8.039571784,0.928692899,0.4643464495,-0.4587034276,-0.03463246094,2.160678549,2.160678549
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,9_hpf,243.55,8.996623461,0.128010179,0.06400508951,-0.4685169432,0.4512093827,-0.7988473246,-0.7988473246
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,14_hpf,1717.92,7.811135353,0.6872260324,0.3436130162,-0.4362731596,-0.1505969165,1.268155928,1.268155928
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,22_hpf,8407.15,7.260354299,0.1775331023,0.08876655113,-0.2899828225,-0.4301977876,-0.615798073,-0.615798073
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,28_hpf,6298.52,7.402565519,0.5204552158,0.2602276079,-0.3360975761,-0.3580050701,0.651728804,0.651728804
Montipora_capitata_HIv3___Scaffold_8_503090,Montipora_capitata_HIv3___RNAseq.g43850.t1,-0.9097260131,0.00171692005,0.05465349559,178,-22.03,2 21,384 406,19,84.21%,94.74%,yellow,0.4422556057,0.2047764217,0.5687153006,0.002931145853,-0.2338067736,-0.2292444042,-0.2921391989,-0.4663625318,0.01440164282,0.2776992869,0.001040997386,0.9877351136,0.2136762285,0.2230041201,0.1172276655,0.009384793739,Maternal,48_hpf,12094.63,7.093804474,0.3378256485,0.1689128243,-0.2093393564,-0.5147458597,-0.02331627448,-0.02331627448
